EVA_NR;DS100;IFOPT;NAME;Longitude;Latitude;Betreiber_Name
8000235;TLU;de:08118:7402;Ludwigsburg;9,18542;48,891862;DB Station und Service AG
8000236;RL,RL  T;de:07314:2080;Ludwigshafen(Rh)Hbf;8,433402;49,477987;DB Station und Service AG
8000237;AL;de:01003:57819;Lübeck Hbf;10,669821;53,867547;DB Station und Service AG
8000238;ALBG,ALBGW;de:03355:8000238;Lüneburg;10,41989;53,249656;DB Station und Service AG
8000239;ELUE;de:05978:16135;Lünen Hbf;7,529485;51,617129;DB Station und Service AG
8000240;FMZ;de:07315:9037;Mainz Hbf;8,25872;50,001117;DB Station und Service AG
8000241;FMB,FMB P;de:06433:6999;Mainz-Bischofsheim;8,35750043;49,9932258;DB Station und Service AG
8000242;EWES;de:05170:36918;Wesel;6,627134;51,65584;DB Station und Service AG
8000243;FMFH;de:06634:204401;Malsfeld;9,534833;51,097605;DB Station und Service AG
8000244;RM;de:08222:2417;Mannheim Hbf;8,468921;49,479354;DB Station und Service AG
8000245;FWBG;de:07143:040018;Westerburg;7,966978;50,557642;DB Station und Service AG
8000247;NMR;de:09479:7597;Marktredwitz;12,082583;50,004596;DB Station und Service AG
8000248;KMYO;de:07137:030048;Mayen Ost;7,238939;50,329594;DB Station und Service AG
8000249;MM;de:09764:3100;Memmingen;10,186853;47,985581;DB Station und Service AG
8000250;FW;de:06414:6907;Wiesbaden Hbf;8,243731;50,070791;DB Station und Service AG
8000251;EWIT;de:05954:5469;Witten Hbf;7,329442;51,435544;DB Station und Service AG
8000252;HM;de:05770:4213;Minden(Westf);8,934728;52,290138;DB Station und Service AG
8000253;KM;de:05116:23007;Mönchengladbach Hbf;6,446111;51,196583;DB Station und Service AG
8000254;RWRT;de:07334:1731;Wörth(Rhein);8,273146;49,045678;DB Station und Service AG
8000255;HWOH,HWOL;de:03158:458;Wolfenbüttel;10,532306;52,159126;DB Station und Service AG
8000256;MRBI;de:09186:8181;Rohrbach(Ilm);11,5733457;48,6065535;DB Station und Service AG
8000257;FWOR;de:07319:4415;Worms Hbf;8,356448;49,63494;DB Station und Service AG
8000258;MMF;de:09183:6530;Mühldorf(Oberbay);12,519638;48,248208;DB RegioNetz Infrastruktur GmbH
8000259;EMLR;de:05117:15225;Mülheim(Ruhr)Hbf;6,88651;51,431342;DB Station und Service AG
8000260;NWH;de:09663:177;Würzburg Hbf;9,93578;49,801796;DB Station und Service AG
8000261;MH;de:09162:100;München Hbf;11,558335;48,140232;DB Station und Service AG
8000262;MOP;de:09162:5;München Ost;11,604971;48,12744;DB Station und Service AG
8000263;EMST,EMSTP;de:05515:41000;Münster(Westf)Hbf;7,635715;51,956566;DB Station und Service AG
8000264;RNZ;de:08225:9180;Mosbach-Neckarelz;9,113093;49,348484;DB Station und Service AG
